Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,6,3,0.75,6->2->1->5->9->10->14->13->15->11->7->3,0.245098,1,Adjacency List
DFS Recursive,0,3,6,0.3125,3->2->1->5->6,0.205882,1,Matrix
DFS Recursive,0,6,3,0.5625,6->2->1->5->9->10->11->7->3,0.22549,1,Matrix
DFS Recursive,0,6,13,0.5,6->2->1->5->9->10->14->13,0.245098,1,Adjacency List
DFS Recursive,0,13,6,0.375,13->9->5->1->2->6,0.245098,1,Adjacency List
DFS Recursive,0,6,13,1,6->2->1->5->9->10->11->7->3->4->8->12->16->15->14->13,0.22549,1,Matrix
DFS Recursive,0,13,6,0.625,13->9->5->1->2->3->4->8->7->6,0.215686,1,Matrix
DFS Recursive,0,6,13,0.5,6->2->1->5->9->10->14->13,0.245098,1,Adjacency List
DFS Recursive,0,13,6,0.375,13->9->5->1->2->6,0.245098,1,Adjacency List
DFS Recursive,0,6,13,1,6->2->1->5->9->10->11->7->3->4->8->12->16->15->14->13,0.22549,1,Matrix
DFS Recursive,0,13,6,0.625,13->9->5->1->2->3->4->8->7->6,0.215686,1,Matrix
DFS Recursive,0,6,2,0.125,6->2,0.245098,1,Adjacency List
DFS Recursive,0,2,6,0.25,2->1->5->6,0.235294,1,Adjacency List
DFS Recursive,0,6,2,0.125,6->2,0.22549,1,Matrix
DFS Recursive,0,2,6,0.25,2->1->5->6,0.215686,1,Matrix
DFS Recursive,0,9,3,0.75,9->5->1->2->6->10->14->13->15->11->7->3,0.254902,1,Adjacency List
DFS Recursive,0,3,9,0.4375,3->2->1->5->6->10->9,0.22549,1,Adjacency List
DFS Recursive,0,9,3,0.3125,9->5->1->2->3,0.205882,1,Matrix
DFS Recursive,0,3,9,0.75,3->2->1->5->6->7->8->4->12->11->10->9,0.186275,1,Matrix
DFS Recursive,0,4,5,0.3125,4->3->2->1->5,0.22549,1,Adjacency List
DFS Recursive,0,5,4,0.8125,5->1->2->6->10->9->13->14->15->11->7->3->4,0.235294,1,Adjacency List
