Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,3,3,1,3,0,1,Matrix
DFS Recursive,0,15,5,5,15->14->13->9->5,24,16,Adjacency List
DFS Recursive,0,5,15,9,5->1->2->6->10->9->13->14->15,24,16,Adjacency List
DFS Recursive,0,15,5,7,15->11->7->3->2->1->5,25,16,Matrix
DFS Recursive,0,5,15,13,5->1->2->3->4->8->7->6->10->9->13->14->15,20,16,Matrix
DFS Recursive,0,1,14,7,1->2->6->5->9->10->14,24,16,Adjacency List
DFS Recursive,0,14,1,5,14->13->9->5->1,25,16,Adjacency List
DFS Recursive,0,1,14,15,1->2->3->4->8->7->6->5->9->10->11->12->16->15->14,19,16,Matrix
DFS Recursive,0,14,1,5,14->10->6->2->1,23,16,Matrix
DFS Recursive,0,6,3,12,6->2->1->5->9->10->14->13->15->11->7->3,25,16,Adjacency List
DFS Recursive,0,3,6,5,3->2->1->5->6,23,16,Adjacency List
DFS Recursive,0,6,3,9,6->2->1->5->9->10->11->7->3,23,16,Matrix
DFS Recursive,0,3,6,5,3->2->1->5->6,21,16,Matrix
DFS Recursive,0,13,16,16,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12->16,27,16,Adjacency List
DFS Recursive,0,16,13,4,16->15->14->13,24,16,Adjacency List
DFS Recursive,999,13,16,14,13->9->5->1->2->3->4->8->7->6->10->11->12->16,22,16,Matrix
DFS Recursive,0,16,13,14,16->12->8->4->3->2->1->5->6->7->11->10->9->13,22,16,Matrix
DFS Recursive,0,2,8,14,2->1->5->6->10->9->13->14->15->11->7->3->4->8,23,16,Adjacency List
DFS Recursive,0,8,2,4,8->4->3->2,22,16,Adjacency List
DFS Recursive,0,2,8,8,2->1->5->6->7->3->4->8,21,16,Matrix
DFS Recursive,0,8,2,4,8->4->3->2,20,16,Matrix
DFS Recursive,0,1,5,4,1->2->6->5,24,16,Adjacency List
DFS Recursive,0,5,1,2,5->1,23,16,Adjacency List
DFS Recursive,0,1,5,8,1->2->3->4->8->7->6->5,20,16,Matrix
DFS Recursive,0,5,1,2,5->1,21,16,Matrix
DFS Recursive,0,14,2,6,14->13->9->5->1->2,24,16,Adjacency List
DFS Recursive,0,2,14,8,2->1->5->6->10->9->13->14,23,16,Adjacency List
DFS Recursive,0,14,2,4,14->10->6->2,25,16,Matrix
DFS Recursive,0,2,14,14,2->1->5->6->7->3->4->8->12->11->10->9->13->14,21,16,Matrix
DFS Recursive,0,11,5,6,11->7->3->2->1->5,24,16,Adjacency List
DFS Recursive,0,5,11,10,5->1->2->6->10->9->13->14->15->11,24,16,Adjacency List
DFS Recursive,0,11,5,6,11->7->3->2->1->5,24,16,Matrix
DFS Recursive,0,5,11,14,5->1->2->3->4->8->7->6->10->9->13->14->15->11,21,16,Matrix
DFS Recursive,0,3,8,13,3->2->1->5->6->10->9->13->14->15->11->7->8,21,16,Adjacency List
DFS Recursive,0,8,3,3,8->4->3,22,16,Adjacency List
DFS Recursive,0,3,8,7,3->2->1->5->6->7->8,19,16,Matrix
DFS Recursive,0,8,3,3,8->4->3,20,16,Matrix
DFS Recursive,0,14,9,3,14->13->9,26,16,Adjacency List
DFS Recursive,0,9,14,7,9->5->1->2->6->10->14,26,16,Adjacency List
DFS Recursive,0,14,9,7,14->10->6->2->1->5->9,23,16,Matrix
DFS Recursive,0,9,14,15,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,21,16,Matrix
DFS Recursive,0,5,9,6,5->1->2->6->10->9,25,16,Adjacency List
DFS Recursive,0,9,5,2,9->5,24,16,Adjacency List
DFS Recursive,0,5,9,10,5->1->2->3->4->8->7->6->10->9,19,16,Matrix
DFS Recursive,0,9,5,2,9->5,21,16,Matrix
DFS Recursive,0,5,13,7,5->1->2->6->10->9->13,26,16,Adjacency List
DFS Recursive,0,13,5,3,13->9->5,25,16,Adjacency List
DFS Recursive,0,5,13,11,5->1->2->3->4->8->7->6->10->9->13,20,16,Matrix
DFS Recursive,0,13,5,3,13->9->5,22,16,Matrix
DFS Recursive,0,16,5,6,16->15->14->13->9->5,23,16,Adjacency List
DFS Recursive,0,5,16,16,5->1->2->6->10->9->13->14->15->11->7->3->4->8->12->16,25,16,Adjacency List
DFS Recursive,0,16,5,8,16->12->8->4->3->2->1->5,22,16,Matrix
DFS Recursive,0,5,16,16,5->1->2->3->4->8->7->6->10->9->13->14->15->11->12->16,21,16,Matrix
DFS Recursive,0,9,6,5,9->5->1->2->6,24,16,Adjacency List
DFS Recursive,0,6,9,5,6->2->1->5->9,24,16,Adjacency List
DFS Recursive,0,9,6,9,9->5->1->2->3->4->8->7->6,21,16,Matrix
DFS Recursive,0,6,9,5,6->2->1->5->9,22,16,Matrix
DFS Recursive,0,5,10,5,5->1->2->6->10,23,16,Adjacency List
DFS Recursive,0,10,5,5,10->6->2->1->5,25,16,Adjacency List
DFS Recursive,0,5,10,9,5->1->2->3->4->8->7->6->10,21,16,Matrix
DFS Recursive,0,10,5,5,10->6->2->1->5,22,16,Matrix
DFS Recursive,0,5,5,1,5,0,1,Adjacency List
DFS Recursive,0,5,5,1,5,0,1,Adjacency List
DFS Recursive,0,5,5,1,5,0,1,Matrix
DFS Recursive,0,5,5,1,5,0,1,Matrix
DFS Recursive,0,15,2,7,15->14->13->9->5->1->2,24,16,Adjacency List
DFS Recursive,0,2,15,9,2->1->5->6->10->9->13->14->15,23,16,Adjacency List
DFS Recursive,0,15,2,5,15->11->7->3->2,24,16,Matrix
